"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"0.1uF1","1","C","","","","Capacitor_SMD:C_0402_1005Metric","~"
"4.4M1","1","ROC2","","","","Resistor_SMD:R_0201_0603Metric","~"
"15.52M1","1","ROC1","","","","Resistor_SMD:R_0201_0603Metric","~"
"BT1","1",">= 100 uF","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"C1,C3","2","4.7 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C8","3","0.1 uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","100 nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6","1","1.0 uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","100 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","47 nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"J1","1","Conn_ARM_JTAG_SWD_10","","","","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf"
"JP1","1","Jumper_2_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"L1","1","22 uF","","","","Inductor_SMD:L_0201_0603Metric","~"
"L2","1","10 uH","","","","Inductor_SMD:L_0201_0603Metric","~"
"L3","1","15 nH","","","","Inductor_SMD:L_0201_0603Metric","~"
"ROK1,RUV2","2","4.42 M","","","","Resistor_SMD:R_0201_0603Metric","~"
"ROK2","1","4.22 M","","","","Resistor_SMD:R_0201_0603Metric","~"
"ROK3","1","1.43 M","","","","Resistor_SMD:R_0201_0603Metric","~"
"ROV1","1","5.90 M","","","","Resistor_SMD:R_0201_0603Metric","~"
"ROV2","1","4.02 M","","","","Resistor_SMD:R_0201_0603Metric","~"
"RUV1","1","5.60 M","","","","Resistor_SMD:R_0201_0603Metric","~"
"SC1","1","Solar_Cell","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","nRF52840","","","","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm","http://infocenter.nordicsemi.com/topic/com.nordic.infocenter.nrf52/dita/nrf52/chips/nrf52840.html"
"U2","1","Wio-SX1262","","","","Wio-SX1262:Wio-SX11262_footprint",""
"U3","1","BQ25504","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm","http://www.ti.com/lit/ds/symlink/bq25504.pdf"
